Term,Error
faulted block margin,'tuple' object has no attribute 'metadata'
feldspar,'tuple' object has no attribute 'metadata'
filled by calcite,'tuple' object has no attribute 'metadata'
fine sand size,'tuple' object has no attribute 'metadata'
fining-up package,'tuple' object has no attribute 'metadata'
flocculation,'tuple' object has no attribute 'metadata'
fluid composition,'tuple' object has no attribute 'metadata'
fluid source,'tuple' object has no attribute 'metadata'
formation condition,'tuple' object has no attribute 'metadata'
formation contact,'tuple' object has no attribute 'metadata'
formation process,'tuple' object has no attribute 'metadata'
fragmented,'tuple' object has no attribute 'metadata'
fragmented bioclast,'tuple' object has no attribute 'metadata'
fracture filling,'tuple' object has no attribute 'metadata'
fracture porosity,'tuple' object has no attribute 'metadata'
frequent hydrodynamic condition fluctuation,'tuple' object has no attribute 'metadata'
frequent hydrodynamic perturbation,'tuple' object has no attribute 'metadata'
gamma-ray peak,'tuple' object has no attribute 'metadata'
gamma-ray value,'tuple' object has no attribute 'metadata'
gastropod,'tuple' object has no attribute 'metadata'
grain,'tuple' object has no attribute 'metadata'
grain erosion,'tuple' object has no attribute 'metadata'
grain fracture porosity,'tuple' object has no attribute 'metadata'
grain redeposition,'tuple' object has no attribute 'metadata'
grain replacement,'tuple' object has no attribute 'metadata'
granule size,'tuple' object has no attribute 'metadata'
gravitational deposit,'tuple' object has no attribute 'metadata'
gravitational redeposition,'tuple' object has no attribute 'metadata'
gravitational redeposition model,'tuple' object has no attribute 'metadata'
gravitational reworking process,'tuple' object has no attribute 'metadata'
gravity flow,'tuple' object has no attribute 'metadata'
growth phase,'tuple' object has no attribute 'metadata'
growth-framework pore,'tuple' object has no attribute 'metadata'
half-graben structure,'tuple' object has no attribute 'metadata'
halite,'tuple' object has no attribute 'metadata'
heterogeneous compaction,'tuple' object has no attribute 'metadata'
heterogeneous distribution,'tuple' object has no attribute 'metadata'
heterogeneous precipitation,'tuple' object has no attribute 'metadata'
high-angle margin,'tuple' object has no attribute 'metadata'
high-density bioclastic gravity flow,'tuple' object has no attribute 'metadata'
high-energy condition,'tuple' object has no attribute 'metadata'
high-frequency intercalation,'tuple' object has no attribute 'metadata'
high frequency depositional condition change,'tuple' object has no attribute 'metadata'
high frequency variation,'tuple' object has no attribute 'metadata'
highly alkaline environment,'tuple' object has no attribute 'metadata'
highly faulted,'tuple' object has no attribute 'metadata'
highly restricted environment,'tuple' object has no attribute 'metadata'
holocene,'tuple' object has no attribute 'metadata'
horst,'tuple' object has no attribute 'metadata'
host sediment,'tuple' object has no attribute 'metadata'
hummocky cross-stratification,'tuple' object has no attribute 'metadata'
hybrid arenite,'tuple' object has no attribute 'metadata'
hybrid siltite,'tuple' object has no attribute 'metadata'
hybrid siltite lamina,'tuple' object has no attribute 'metadata'
hybrid siltite porosity,'tuple' object has no attribute 'metadata'
hydrocarbon accumulation,'tuple' object has no attribute 'metadata'
hydrocarbon production,'tuple' object has no attribute 'metadata'
hydrocarbon production optimization,'tuple' object has no attribute 'metadata'
hydrostatic perturbation,'tuple' object has no attribute 'metadata'
hydrothermal alteration,'tuple' object has no attribute 'metadata'
hydrothermalism,'tuple' object has no attribute 'metadata'
hyperalkaline lake,'tuple' object has no attribute 'metadata'
hypolimnion,'tuple' object has no attribute 'metadata'
immature package,'tuple' object has no attribute 'metadata'
in situ calcite aggregate,'tuple' object has no attribute 'metadata'
in situ deposit,'tuple' object has no attribute 'metadata'
in situ deposit intercalation,'tuple' object has no attribute 'metadata'
in situ fascicular shrub deposit,'tuple' object has no attribute 'metadata'
in situ growth,'tuple' object has no attribute 'metadata'
in situ rock matrix,'tuple' object has no attribute 'metadata'
in situ spherulitic deposit,'tuple' object has no attribute 'metadata'
incipient pressure dissolution,'tuple' object has no attribute 'metadata'
inclusion,'tuple' object has no attribute 'metadata'
inductively coupled plasma mass spectrometry,'tuple' object has no attribute 'metadata'
intense calcite cementation,'tuple' object has no attribute 'metadata'
intense dolomite cementation,'tuple' object has no attribute 'metadata'
intense lake water evaporation,'tuple' object has no attribute 'metadata'
intense tectonism,'tuple' object has no attribute 'metadata'
intense volcanism,'tuple' object has no attribute 'metadata'
inter-aggregate cement,'tuple' object has no attribute 'metadata'
inter-aggregate matrix dissolution,'tuple' object has no attribute 'metadata'
inter-aggregate porosity,'tuple' object has no attribute 'metadata'
inter-aggregate porosity cementation,'tuple' object has no attribute 'metadata'
inter-aggregate porosity enlargement,'tuple' object has no attribute 'metadata'
interface perturbation,'tuple' object has no attribute 'metadata'
interlayering,'tuple' object has no attribute 'metadata'
internal wave,'tuple' object has no attribute 'metadata'
internal wave breaking,'tuple' object has no attribute 'metadata'
internal wave perturbation,'tuple' object has no attribute 'metadata'
interparticle blocky calcite cement,'tuple' object has no attribute 'metadata'
interparticle blocky dolomite cement,'tuple' object has no attribute 'metadata'
interparticle calcite cement,'tuple' object has no attribute 'metadata'
interparticle dolomite cement,'tuple' object has no attribute 'metadata'
interparticle magnesite cement,'tuple' object has no attribute 'metadata'
interparticle porosity,'tuple' object has no attribute 'metadata'
interparticle porosity filling,'tuple' object has no attribute 'metadata'
interstitial matrix replacement,'tuple' object has no attribute 'metadata'
intraclast,'tuple' object has no attribute 'metadata'
intraclast encrustation,'tuple' object has no attribute 'metadata'
intraclast origin,'tuple' object has no attribute 'metadata'
intraclast within intraclast,'tuple' object has no attribute 'metadata'
intraclast within ooid,'tuple' object has no attribute 'metadata'
intraclastic calcarenite,'tuple' object has no attribute 'metadata'
intraclastic calcirudite,'tuple' object has no attribute 'metadata'
intraclastic deposit,'tuple' object has no attribute 'metadata'
intraclastic level,'tuple' object has no attribute 'metadata'
intraclastic nucleus,'tuple' object has no attribute 'metadata'
intraclastic reservoir,'tuple' object has no attribute 'metadata'
intra-aggregate microporosity,'tuple' object has no attribute 'metadata'
intra-aggregate porosity,'tuple' object has no attribute 'metadata'
intrabasinal structural high,'tuple' object has no attribute 'metadata'
intracrystalline porosity,'tuple' object has no attribute 'metadata'
intraparticle blocky calcite cement,'tuple' object has no attribute 'metadata'
intraparticle blocky dolomite cement,'tuple' object has no attribute 'metadata'
intraparticle calcite cement,'tuple' object has no attribute 'metadata'
intraparticle dolomite cement,'tuple' object has no attribute 'metadata'
intraparticle magnesite cement,'tuple' object has no attribute 'metadata'
intraparticle porosity,'tuple' object has no attribute 'metadata'
intraparticle porosity filling,'tuple' object has no attribute 'metadata'
intraparticle porosity lining,'tuple' object has no attribute 'metadata'
irregular dissolution,'tuple' object has no attribute 'metadata'
irregular envelope,'tuple' object has no attribute 'metadata'
isotope value,'tuple' object has no attribute 'metadata'
isotopic analysis sample,'tuple' object has no attribute 'metadata'
isotopic characteristic,'tuple' object has no attribute 'metadata'
isotopic normalization,'tuple' object has no attribute 'metadata'
isotopic ratio,'tuple' object has no attribute 'metadata'
karst,'tuple' object has no attribute 'metadata'
kerolite,'tuple' object has no attribute 'metadata'
lack of analog,'tuple' object has no attribute 'metadata'
lack of exposure feature,'tuple' object has no attribute 'metadata'
lack of marine fossil,'tuple' object has no attribute 'metadata'
lack of subaerial exposure evidence,'tuple' object has no attribute 'metadata'
lack of tractive process structure,'tuple' object has no attribute 'metadata'
lacustrine carbonate,'tuple' object has no attribute 'metadata'
lacustrine carbonate facies deposition,'tuple' object has no attribute 'metadata'
lacustrine carbonate platform,'tuple' object has no attribute 'metadata'
lacustrine sandstone,'tuple' object has no attribute 'metadata'
lacustrine rift basin,'tuple' object has no attribute 'metadata'
lake level fluctuation,'tuple' object has no attribute 'metadata'
lake level variation,'tuple' object has no attribute 'metadata'
lake water geochemistry,'tuple' object has no attribute 'metadata'
lake water-atmosphere equilibration,'tuple' object has no attribute 'metadata'
lamellar magnesite,'tuple' object has no attribute 'metadata'
lamellar magnesite aggregate,'tuple' object has no attribute 'metadata'
lamellar shrinkage porosity,'tuple' object has no attribute 'metadata'
laminated,'tuple' object has no attribute 'metadata'
laminated clay reworking,'tuple' object has no attribute 'metadata'
laminated hybrid siltite,'tuple' object has no attribute 'metadata'
laminated level,'tuple' object has no attribute 'metadata'
laminated magnesium clay,'tuple' object has no attribute 'metadata'
laminated magnesium clay deposit,'tuple' object has no attribute 'metadata'
laminated magnesium clay matrix,'tuple' object has no attribute 'metadata'
laminated mudstone,'tuple' object has no attribute 'metadata'
large lacustrine system,'tuple' object has no attribute 'metadata'
large stratified lacustrine system,'tuple' object has no attribute 'metadata'
large-scale desiccation,'tuple' object has no attribute 'metadata'
large-scale exposure,'tuple' object has no attribute 'metadata'
lateral facies variation,'tuple' object has no attribute 'metadata'
less common diagenetic constituent,'tuple' object has no attribute 'metadata'
limited syndepositional tectonism,'tuple' object has no attribute 'metadata'
lithologic type,'tuple' object has no attribute 'metadata'
lobate spherulite,'tuple' object has no attribute 'metadata'
localized area,'tuple' object has no attribute 'metadata'
localized level,'tuple' object has no attribute 'metadata'
log signature,'tuple' object has no attribute 'metadata'
long contact,'tuple' object has no attribute 'metadata'
loose packing,'tuple' object has no attribute 'metadata'
low-angle cross-stratification,'tuple' object has no attribute 'metadata'
lower energy condition,'tuple' object has no attribute 'metadata'
lower frequency,'tuple' object has no attribute 'metadata'
lower rift phase,'tuple' object has no attribute 'metadata'
lower rift sequence,'tuple' object has no attribute 'metadata'
lower syn-rift,'tuple' object has no attribute 'metadata'
macrocrystalline,'tuple' object has no attribute 'metadata'
macrocrystalline barite,'tuple' object has no attribute 'metadata'
macrocrystalline dawsonite,'tuple' object has no attribute 'metadata'
macrocrystalline habit,'tuple' object has no attribute 'metadata'
macrocrystalline quartz,'tuple' object has no attribute 'metadata'
magnesite,'tuple' object has no attribute 'metadata'
magnesium clay,'tuple' object has no attribute 'metadata'
magnesium clay matrix,'tuple' object has no attribute 'metadata'
main depositional environment,'tuple' object has no attribute 'metadata'
main porosity type,'tuple' object has no attribute 'metadata'
main source rock,'tuple' object has no attribute 'metadata'
marine influx,'tuple' object has no attribute 'metadata'
marine water flooding,'tuple' object has no attribute 'metadata'
marginal intraparticle porosity,'tuple' object has no attribute 'metadata'
marcasite,'tuple' object has no attribute 'metadata'
massive,'tuple' object has no attribute 'metadata'
massive calcarenite,'tuple' object has no attribute 'metadata'
massive calcirudite,'tuple' object has no attribute 'metadata'
massive structure,'tuple' object has no attribute 'metadata'
matrix,'tuple' object has no attribute 'metadata'
matrix dehydration,'tuple' object has no attribute 'metadata'
matrix displacement,'tuple' object has no attribute 'metadata'
matrix dissolution,'tuple' object has no attribute 'metadata'
matrix replacement,'tuple' object has no attribute 'metadata'
matrix remnant incorporation,'tuple' object has no attribute 'metadata'
mechanical compaction,'tuple' object has no attribute 'metadata'
mechanical subsidence,'tuple' object has no attribute 'metadata'
meniscus cement,'tuple' object has no attribute 'metadata'
meromictic alkaline lacustrine system,'tuple' object has no attribute 'metadata'
meromictic lacustrine system,'tuple' object has no attribute 'metadata'
meteoric oxygen isotope value,'tuple' object has no attribute 'metadata'
mica,'tuple' object has no attribute 'metadata'
microbial accretion,'tuple' object has no attribute 'metadata'
microbial feature,'tuple' object has no attribute 'metadata'
microbial intraclast,'tuple' object has no attribute 'metadata'
microbial origin,'tuple' object has no attribute 'metadata'
microcrystalline,'tuple' object has no attribute 'metadata'
microcrystalline calcite,'tuple' object has no attribute 'metadata'
microcrystalline calcite intraclast,'tuple' object has no attribute 'metadata'
microcrystalline crystal,'tuple' object has no attribute 'metadata'
microcrystalline dolomite,'tuple' object has no attribute 'metadata'
microcrystalline level,'tuple' object has no attribute 'metadata'
microcrystalline pyrite,'tuple' object has no attribute 'metadata'
microcrystalline quartz,'tuple' object has no attribute 'metadata'
micro-stylolitization,'tuple' object has no attribute 'metadata'
microporosity,'tuple' object has no attribute 'metadata'
microspherulite,'tuple' object has no attribute 'metadata'
microspherulitic aggregate,'tuple' object has no attribute 'metadata'
migration,'tuple' object has no attribute 'metadata'
millimeter level,'tuple' object has no attribute 'metadata'
millimeter-thin layer,'tuple' object has no attribute 'metadata'
mineral precipitation,'tuple' object has no attribute 'metadata'
mixed constituent,'tuple' object has no attribute 'metadata'
modern analog,'tuple' object has no attribute 'metadata'
moldic pore,'tuple' object has no attribute 'metadata'
moldic porosity,'tuple' object has no attribute 'metadata'
monocrystalline quartz,'tuple' object has no attribute 'metadata'
morphological aspect,'tuple' object has no attribute 'metadata'
mosaic habit,'tuple' object has no attribute 'metadata'
mound,'tuple' object has no attribute 'metadata'
mud intraclast,'tuple' object has no attribute 'metadata'
mud intraclast compaction,'tuple' object has no attribute 'metadata'
mud intraclast deformation,'tuple' object has no attribute 'metadata'
mudstone,'tuple' object has no attribute 'metadata'
mudstone porosity,'tuple' object has no attribute 'metadata'
multicycle redeposition,'tuple' object has no attribute 'metadata'
multicycle redeposition feature,'tuple' object has no attribute 'metadata'
multiple cycle within grain,'tuple' object has no attribute 'metadata'
multiple small lake,'tuple' object has no attribute 'metadata'
muscovite,'tuple' object has no attribute 'metadata'
natural gas,'tuple' object has no attribute 'metadata'
near constant lake level,'tuple' object has no attribute 'metadata'
net pay,'tuple' object has no attribute 'metadata'
neobarremian,'tuple' object has no attribute 'metadata'
nmr porosity,'tuple' object has no attribute 'metadata'
non-marine origin,'tuple' object has no attribute 'metadata'
oil accumulation,'tuple' object has no attribute 'metadata'
oil impregnation,'tuple' object has no attribute 'metadata'
oil production,'tuple' object has no attribute 'metadata'
oncoid,'tuple' object has no attribute 'metadata'
onlap,'tuple' object has no attribute 'metadata'
ooid,'tuple' object has no attribute 'metadata'
ooid encrustation,'tuple' object has no attribute 'metadata'
ooid envelope,'tuple' object has no attribute 'metadata'
ooid envelope detachment,'tuple' object has no attribute 'metadata'
ooid margin dissolution,'tuple' object has no attribute 'metadata'
ooid nucleus,'tuple' object has no attribute 'metadata'
ooid replacement,'tuple' object has no attribute 'metadata'
ooid with intraclastic nucleus,'tuple' object has no attribute 'metadata'
ooid within intraclast,'tuple' object has no attribute 'metadata'
ooidal-bioclastic intraclast,'tuple' object has no attribute 'metadata'
ooidal grain,'tuple' object has no attribute 'metadata'
ooidal nucleus,'tuple' object has no attribute 'metadata'
organic matter,'tuple' object has no attribute 'metadata'
organic matter concentration,'tuple' object has no attribute 'metadata'
organic wall,'tuple' object has no attribute 'metadata'
original fibrous fabric,'tuple' object has no attribute 'metadata'
original internal structure,'tuple' object has no attribute 'metadata'
original lamination,'tuple' object has no attribute 'metadata'
original magnesium clay composition remnant,'tuple' object has no attribute 'metadata'
original matrix dehydration,'tuple' object has no attribute 'metadata'
original matrix lamination preservation,'tuple' object has no attribute 'metadata'
original matrix replacement,'tuple' object has no attribute 'metadata'
original matrix structure,'tuple' object has no attribute 'metadata'
original structure preservation,'tuple' object has no attribute 'metadata'
ostracod bioclast,'tuple' object has no attribute 'metadata'
ostracod bioclast ghost,'tuple' object has no attribute 'metadata'
overlying evaporite,'tuple' object has no attribute 'metadata'
overlying evaporite seismic effect,'tuple' object has no attribute 'metadata'
oxidation,'tuple' object has no attribute 'metadata'
paleocurrent predominance,'tuple' object has no attribute 'metadata'
paleoenvironmental condition,'tuple' object has no attribute 'metadata'
partial dissolution,'tuple' object has no attribute 'metadata'
partial envelope preservation,'tuple' object has no attribute 'metadata'
partial grain replacement,'tuple' object has no attribute 'metadata'
partial interparticle porosity filling,'tuple' object has no attribute 'metadata'
partial matrix dissolution,'tuple' object has no attribute 'metadata'
partially eogenetic,'tuple' object has no attribute 'metadata'
partially syngenetic,'tuple' object has no attribute 'metadata'
particle replacement,'tuple' object has no attribute 'metadata'
peloid dissolution,'tuple' object has no attribute 'metadata'
peloid ghost,'tuple' object has no attribute 'metadata'
peloid replacement,'tuple' object has no attribute 'metadata'
peloidal grain,'tuple' object has no attribute 'metadata'
peloidal intraclast,'tuple' object has no attribute 'metadata'
peloidal intraclast deformation,'tuple' object has no attribute 'metadata'
peloidal matrix,'tuple' object has no attribute 'metadata'
peloidal pseudomatrix,'tuple' object has no attribute 'metadata'
peloidal siltite,'tuple' object has no attribute 'metadata'
peloidal siltite lamina,'tuple' object has no attribute 'metadata'
permeability,'tuple' object has no attribute 'metadata'
petrographic characteristic,'tuple' object has no attribute 'metadata'
petrographic characterization,'tuple' object has no attribute 'metadata'
petrographic study,'tuple' object has no attribute 'metadata'
petrophysical log characterization,'tuple' object has no attribute 'metadata'
phosphatic bioclast,'tuple' object has no attribute 'metadata'
phosphatic fragment,'tuple' object has no attribute 'metadata'
phosphatic grain,'tuple' object has no attribute 'metadata'
plasma source,'tuple' object has no attribute 'metadata'
planar cross lamination,'tuple' object has no attribute 'metadata'
planar low angle stratification,'tuple' object has no attribute 'metadata'
plutonic basement rock,'tuple' object has no attribute 'metadata'
poikilotopic habit,'tuple' object has no attribute 'metadata'
pore center,'tuple' object has no attribute 'metadata'
pore space filling,'tuple' object has no attribute 'metadata'
pore type,'tuple' object has no attribute 'metadata'
